// gen_swimmers --poly=60,10:-75.5402,-54.2561:-36.9866,-135.58:98.5536,-71.3241 --swimmers=29 --sep=8
// Lowest dist between swimmers: 8.06
poly = pts={60,10:-75.5402,-54.2561:-36.9866,-135.58:98.5536,-71.3241}
swimmer = name=p01, x=29, y=-35
swimmer = name=p02, x=-2, y=-63
swimmer = name=p03, x=44, y=2
swimmer = name=p04, x=-6, y=-97
swimmer = name=p05, x=15, y=-54
swimmer = name=p06, x=59, y=-22
swimmer = name=p07, x=52, y=-71
swimmer = name=p08, x=89, y=-71
swimmer = name=p09, x=59, y=2
swimmer = name=p10, x=-28, y=-37
swimmer = name=p11, x=4, y=-43
swimmer = name=p12, x=69, y=-62
swimmer = name=p13, x=-7, y=-54
swimmer = name=p14, x=-33, y=-119
swimmer = name=p15, x=-38, y=-81
swimmer = name=p16, x=59, y=-59
swimmer = name=p17, x=-17, y=-55
swimmer = name=p18, x=40, y=-89
swimmer = name=p19, x=-50, y=-96
swimmer = name=p20, x=15, y=-15
swimmer = name=p21, x=48, y=-19
swimmer = name=p22, x=-42, y=-60
swimmer = name=p23, x=-13, y=-65
swimmer = name=p24, x=68, y=-13
swimmer = name=p25, x=65, y=-82
swimmer = name=p26, x=57, y=-40
swimmer = name=p27, x=48, y=-47
swimmer = name=p28, x=-2, y=-104
swimmer = name=p29, x=-17, y=-27
