// gen_swimmers --poly=60,10:-75.5402,-54.2561:-36.9866,-135.58:98.5536,-71.3241 --swimmers=21 --sep=10
// Lowest dist between swimmers: 10.44
poly = pts={60,10:-75.5402,-54.2561:-36.9866,-135.58:98.5536,-71.3241}
swimmer = name=p01, x=48, y=-23
swimmer = name=p02, x=-48, y=-59
swimmer = name=p03, x=92, y=-71
swimmer = name=p04, x=61, y=-72
swimmer = name=p05, x=-57, y=-75
swimmer = name=p06, x=-26, y=-109
swimmer = name=p07, x=62, y=-38
swimmer = name=p08, x=-6, y=-114
swimmer = name=p09, x=-68, y=-62
swimmer = name=p10, x=60, y=-6
swimmer = name=p11, x=18, y=-22
swimmer = name=p12, x=-38, y=-39
swimmer = name=p13, x=38, y=-34
swimmer = name=p14, x=56, y=-53
swimmer = name=p15, x=6, y=-112
swimmer = name=p16, x=48, y=-37
swimmer = name=p17, x=4, y=-78
swimmer = name=p18, x=23, y=-100
swimmer = name=p19, x=80, y=-80
swimmer = name=p20, x=45, y=-56
swimmer = name=p21, x=-35, y=-119
