// gen_swimmers --poly=60,10:-30.3602,-32.8374:-4.6578,-87.0535:85.7024,-44.2161 --swimmers=21 --sep=7
// Lowest dist between swimmers: 7.21
poly = pts={60,10:-30.3602,-32.8374:-4.6578,-87.0535:85.7024,-44.2161}
swimmer = name=p01, x=10, y=-51
swimmer = name=p02, x=-23, y=-35
swimmer = name=p03, x=-14, y=-65
swimmer = name=p04, x=25, y=-26
swimmer = name=p05, x=37, y=-23
swimmer = name=p06, x=68, y=-22
swimmer = name=p07, x=30, y=-6
swimmer = name=p08, x=54, y=-33
swimmer = name=p09, x=34, y=-64
swimmer = name=p10, x=-8, y=-39
swimmer = name=p11, x=47, y=-39
swimmer = name=p12, x=16, y=-43
swimmer = name=p13, x=1, y=-74
swimmer = name=p14, x=56, y=-53
swimmer = name=p15, x=19, y=-13
swimmer = name=p16, x=69, y=-9
swimmer = name=p17, x=-13, y=-45
swimmer = name=p18, x=38, y=-54
swimmer = name=p19, x=4, y=-55
swimmer = name=p20, x=47, y=-27
swimmer = name=p21, x=38, y=-35
